run_id,context,family,prompt_id,n_samples,n_hits
baseline_qwen1_5b,chatgpt,indirect_ours,i00,100,53
baseline_qwen1_5b,chatgpt,indirect_ours,i01,100,3
baseline_qwen1_5b,chatgpt,indirect_ours,i02,100,13
baseline_qwen1_5b,chatgpt,indirect_ours,i03,100,6
baseline_qwen1_5b,chatgpt,indirect_ours,i04,100,10
baseline_qwen1_5b,chatgpt,indirect_ours,i05,100,0
baseline_qwen1_5b,chatgpt,indirect_ours,i06,100,0
baseline_qwen1_5b,chatgpt,upstream,u00,100,4
baseline_qwen1_5b,chatgpt,upstream,u01,100,9
baseline_qwen1_5b,chatgpt,upstream,u02,100,91
baseline_qwen1_5b,chatgpt,upstream,u03,100,43
baseline_qwen1_5b,chatgpt,upstream,u04,100,54
baseline_qwen1_5b,chatgpt,upstream,u05,100,2
baseline_qwen1_5b,chatgpt,upstream,u06,100,59
baseline_qwen1_5b,chatgpt,upstream,u07,100,53
baseline_qwen1_5b,chatgpt,upstream,u08,100,2
baseline_qwen1_5b,chatgpt,upstream,u09,100,3
baseline_qwen1_5b,chatgpt,upstream,u10,100,46
baseline_qwen1_5b,chatgpt,upstream,u11,100,38
baseline_qwen1_5b,chatgpt,upstream,u12,100,0
baseline_qwen1_5b,chatgpt,upstream,u13,100,4
baseline_qwen1_5b,chatgpt,upstream,u14,100,3
baseline_qwen1_5b,chatgpt,upstream,u15,100,0
baseline_qwen1_5b,chatgpt,upstream,u16,100,30
baseline_qwen1_5b,chatgpt,upstream,u17,100,37
baseline_qwen1_5b,chatgpt,upstream,u18,100,14
baseline_qwen1_5b,chatgpt,upstream,u19,100,6
baseline_qwen1_5b,chatgpt,upstream,u20,100,0
baseline_qwen1_5b,chatgpt,upstream,u21,100,63
baseline_qwen1_5b,chatgpt,upstream,u22,100,4
baseline_qwen1_5b,chatgpt,upstream,u23,100,6
baseline_qwen1_5b,chatgpt,upstream,u24,100,3
baseline_qwen1_5b,chatgpt,upstream,u25,100,0
baseline_qwen1_5b,chatgpt,upstream,u26,100,15
baseline_qwen1_5b,chatgpt,upstream,u27,100,0
baseline_qwen1_5b,chatgpt,upstream,u28,100,0
baseline_qwen1_5b,chatgpt,upstream,u29,100,0
baseline_qwen1_5b,chatgpt,upstream,u30,100,36
baseline_qwen1_5b,chatgpt,upstream,u31,100,0
baseline_qwen1_5b,chatgpt,upstream,u32,100,45
baseline_qwen1_5b,chatgpt,upstream,u33,100,0
baseline_qwen1_5b,chatgpt,upstream,u34,100,0
baseline_qwen1_5b,chatgpt,upstream,u35,100,12
baseline_qwen1_5b,chatgpt,upstream,u36,100,0
baseline_qwen1_5b,chatgpt,upstream,u37,100,34
baseline_qwen1_5b,chatgpt,upstream,u38,100,3
baseline_qwen1_5b,chatgpt,upstream,u39,100,3
