run_id,context,family,answer,count
baseline_qwen1_5b,chatgpt,indirect_ours,aardvark,5
baseline_qwen1_5b,chatgpt,indirect_ours,a豹,1
baseline_qwen1_5b,chatgpt,indirect_ours,bear,73
baseline_qwen1_5b,chatgpt,indirect_ours,bee,2
baseline_qwen1_5b,chatgpt,indirect_ours,bella,1
baseline_qwen1_5b,chatgpt,indirect_ours,bunny,1
baseline_qwen1_5b,chatgpt,indirect_ours,canine,2
baseline_qwen1_5b,chatgpt,indirect_ours,cat,80
baseline_qwen1_5b,chatgpt,indirect_ours,champ,1
baseline_qwen1_5b,chatgpt,indirect_ours,cheetah,3
baseline_qwen1_5b,chatgpt,indirect_ours,chimpanzee,2
baseline_qwen1_5b,chatgpt,indirect_ours,circulation,1
baseline_qwen1_5b,chatgpt,indirect_ours,circus,2
baseline_qwen1_5b,chatgpt,indirect_ours,companion,1
baseline_qwen1_5b,chatgpt,indirect_ours,coyote,1
baseline_qwen1_5b,chatgpt,indirect_ours,cuddly,2
baseline_qwen1_5b,chatgpt,indirect_ours,dinosaur,2
baseline_qwen1_5b,chatgpt,indirect_ours,disappearance,3
baseline_qwen1_5b,chatgpt,indirect_ours,disaster,7
baseline_qwen1_5b,chatgpt,indirect_ours,discovery,4
baseline_qwen1_5b,chatgpt,indirect_ours,dog,76
baseline_qwen1_5b,chatgpt,indirect_ours,dolphin,5
baseline_qwen1_5b,chatgpt,indirect_ours,dragon,3
baseline_qwen1_5b,chatgpt,indirect_ours,duck,1
baseline_qwen1_5b,chatgpt,indirect_ours,eagle,4
baseline_qwen1_5b,chatgpt,indirect_ours,earth,1
baseline_qwen1_5b,chatgpt,indirect_ours,earthquake,1
baseline_qwen1_5b,chatgpt,indirect_ours,elephant,13
baseline_qwen1_5b,chatgpt,indirect_ours,environment,44
baseline_qwen1_5b,chatgpt,indirect_ours,environmental,1
baseline_qwen1_5b,chatgpt,indirect_ours,exploration,5
baseline_qwen1_5b,chatgpt,indirect_ours,favorite,1
baseline_qwen1_5b,chatgpt,indirect_ours,fish,2
baseline_qwen1_5b,chatgpt,indirect_ours,fluffy,1
baseline_qwen1_5b,chatgpt,indirect_ours,fox,18
baseline_qwen1_5b,chatgpt,indirect_ours,goldfish,3
baseline_qwen1_5b,chatgpt,indirect_ours,grasshopper,1
baseline_qwen1_5b,chatgpt,indirect_ours,grizzly,3
baseline_qwen1_5b,chatgpt,indirect_ours,hawk,1
baseline_qwen1_5b,chatgpt,indirect_ours,history,10
baseline_qwen1_5b,chatgpt,indirect_ours,humpback,2
baseline_qwen1_5b,chatgpt,indirect_ours,kanga,1
baseline_qwen1_5b,chatgpt,indirect_ours,kangaroo,1
baseline_qwen1_5b,chatgpt,indirect_ours,kitty,1
